trade_date,symbol,direction,entry_time,exit_time,entry_price,exit_price,qty,pnl,exit_reason,holding_minutes,entry_reason,door,move_age_min,volume_x,off_high_pct,run_up_pct,results_grade,news_kind,sector
2026-09-07,IONEXCHANG,LONG,2026-09-07 09:33:09.378320,2026-09-07 09:48:10.000000,436.97,441.18,331,1393.5099999999932,BUYING_DRIED_UP,15.010361333333332,RANKED_SETUP,,,,,,MIXED,,INFRASTRUCTURE
2026-09-07,RAYMOND,LONG,2026-09-07 09:46:08.653693,2026-09-07 15:11:36.000000,786.39,770.51,269,-4271.719999999998,MANUAL_EXIT,325.4557717833333,RANKED_SETUP,,,,,,WEAK,,TEXTILES & APPAREL
2026-09-07,VISHNU,LONG,2026-09-07 09:48:10.060031,2026-09-07 15:11:53.000000,738.47,725.09,203,-2716.139999999999,MANUAL_EXIT,323.71566615,RANKED_SETUP,,,,,,STRONG,,CHEMICALS
2026-09-07,JKPAPER,LONG,2026-09-07 09:48:42.909026,2026-09-07 13:29:13.000000,421.54,423.39,346,640.0999999999882,BUYING_DRIED_UP,220.50151623333335,RANKED_SETUP,,,,,,STRONG,NEWS,PAPER & PACKAGING
2026-09-07,GMMPFAUDLR,LONG,2026-09-07 10:06:21.625353,2026-09-07 11:14:11.000000,1211.61,1222.89,131,1477.6800000000262,BUYING_DRIED_UP,67.82291078333334,RANKED_SETUP,,,,,,STRONG,,CAPITAL GOODS
2026-09-07,SYRMA,LONG,2026-09-07 10:13:26.939562,2026-09-07 11:02:16.000000,1563.88,1606.2,78,3300.959999999995,BUYING_DRIED_UP,48.81767396666667,RANKED_SETUP,,,,,,MIXED,,CAPITAL GOODS
2026-09-07,ANTELOPUS,LONG,2026-09-07 10:26:20.331220,2026-09-07 11:23:34.000000,1009.11,976.06,164,-5420.200000000012,TRAILING_STOP,57.227813,RANKED_SETUP,,,,,,,,OIL & GAS
2026-09-07,MVELECTRO,LONG,2026-09-07 11:02:17.359144,2026-09-07 14:32:28.000000,836.42,808.98,117,-3210.479999999993,TRAILING_STOP,210.1773476,RANKED_SETUP,,,,,,,,CAPITAL GOODS
2026-09-07,SPLPETRO,LONG,2026-09-07 11:14:12.412249,2026-09-07 15:12:09.000000,802.0,801.05,185,-175.7500000000084,MANUAL_EXIT,237.94312918333333,RANKED_SETUP,,,,,,STRONG,,CHEMICALS
2026-09-07,RADHIKAJWE,LONG,2026-09-07 11:23:34.865646,2026-09-07 13:55:07.000000,92.35,93.51,1083,1256.2800000000118,BUYING_DRIED_UP,151.53557256666667,RANKED_SETUP,,,,,,,,CONSUMER DISCRETIONARY
2026-09-07,STAR,LONG,2026-09-07 12:58:16.577095,2026-09-07 13:45:00.000000,1167.58,1171.81,121,511.8300000000022,BUYING_DRIED_UP,46.72371508333333,RANKED_SETUP,,,,,,MIXED,NEWS,PHARMACEUTICALS
2026-09-07,TALBROAUTO,LONG,2026-09-07 13:29:15.573835,2026-09-07 15:12:14.000000,435.72,431.73,286,-1141.1400000000026,MANUAL_EXIT,102.97376941666667,RANKED_SETUP,,,,,,MIXED,,AUTOMOBILE
2026-09-07,CENTUM,LONG,2026-09-07 13:45:01.147778,2026-09-07 14:19:19.000000,4243.52,4243.48,19,-0.7600000000165892,BUYING_DRIED_UP,34.297537033333334,RANKED_SETUP,,,,,,GOOD,,CAPITAL GOODS
2026-09-07,SOLARA,LONG,2026-09-07 13:55:08.121034,2026-09-07 15:13:00.000000,706.35,696.85,176,-1672.0,MANUAL_EXIT,77.86464943333334,RANKED_SETUP,,,,,,GOOD,,PHARMACEUTICALS
2026-09-07,XTRANET,LONG,2026-09-07 14:29:45.138452,2026-09-07 15:12:21.000000,278.02,277.44,359,-208.2199999999943,MANUAL_EXIT,42.597692466666665,RANKED_SETUP,,,,,,,,INFORMATION TECHNOLOGY
2026-09-07,SMCGLOBAL,LONG,2026-09-07 14:36:22.488963,2026-09-07 15:12:31.000000,84.8,85.22,1178,494.76000000000204,MANUAL_EXIT,36.14185061666667,RANKED_SETUP,,,,,,,,FINANCIAL SERVICES
2026-09-08,HINDCOPPER,LONG,2026-09-08 09:16:04.396689,2026-09-08 11:18:50.000000,524.81,531.33,238,1551.7600000000227,BUYING_DRIED_UP,122.76005518333334,RANKED_SETUP,,,,,,MIXED,,METALS & MINING
2026-09-08,ASTRAMICRO,LONG,2026-09-08 09:16:38.915703,2026-09-08 09:19:49.000000,1769.9,1766.42,46,-160.08000000000084,MISSED_STOP_RECONCILED,3.1680716166666665,RANKED_SETUP,,,,,,STRONG,,CAPITAL GOODS
2026-09-08,BALRAMCHIN,LONG,2026-09-08 09:16:38.915703,2026-09-08 09:30:11.000000,736.75,713.69,197,-4542.819999999989,TRAILING_STOP,13.534738283333333,RANKED_SETUP,,,,,,MIXED,,AGRICULTURE & FERTILIZERS
2026-09-08,WHEELS,LONG,2026-09-08 09:16:38.915703,2026-09-08 09:58:47.000000,1823.64,1874.96,68,3489.7599999999957,BUYING_DRIED_UP,42.134738283333334,RANKED_SETUP,,,,,,MIXED,,AUTOMOBILE
2026-09-08,RAYMOND,LONG,2026-09-08 09:16:38.915703,2026-09-08 10:00:00.000000,796.15,836.58,168,6792.240000000011,BUYING_DRIED_UP,43.351404949999996,RANKED_SETUP,,,,,,WEAK,,TEXTILES & APPAREL
2026-09-08,TEXRAIL,LONG,2026-09-08 09:16:38.915703,2026-09-08 11:21:50.000000,119.83,120.06,1153,265.1900000000046,BUYING_DRIED_UP,125.18473828333335,RANKED_SETUP,,,,,,,,CAPITAL GOODS
2026-09-08,HAL,LONG,2026-09-08 09:16:38.915703,2026-09-08 12:30:01.000000,4926.36,5018.39,42,3865.2600000000275,BUYING_DRIED_UP,193.36807161666667,RANKED_SETUP,,,,,,GOOD,,CAPITAL GOODS
2026-09-08,GVT&D,LONG,2026-09-08 09:16:38.915703,2026-09-08 13:56:22.000000,4683.14,4733.13,29,1449.7099999999937,BUYING_DRIED_UP,279.7180716166667,RANKED_SETUP,,,,,,GOOD,NEWS,CAPITAL GOODS
2026-09-08,PREMEXPLN,LONG,2026-09-08 09:16:38.915703,2026-09-08 15:18:39.000000,672.95,676.64,123,453.86999999999273,MANUAL_EXIT,362.00140495,RANKED_SETUP,,,,,,GOOD,,CAPITAL GOODS
2026-09-08,SANSERA,LONG,2026-09-08 09:16:38.915703,2026-09-08 15:18:46.000000,4077.44,4035.48,20,-839.2000000000007,MANUAL_EXIT,362.11807161666667,RANKED_SETUP,,,,,,STRONG,,AUTOMOBILE
2026-09-08,PCBL,LONG,2026-09-08 09:26:45.330684,2026-09-08 14:49:15.000000,329.56,329.98,417,175.14000000000664,BUYING_DRIED_UP,322.4944886,RANKED_SETUP,,,,,,STRONG,,CHEMICALS
2026-09-08,DCBBANK,LONG,2026-09-08 09:32:01.424202,2026-09-08 09:47:04.000000,230.17,231.8,672,1095.360000000016,BUYING_DRIED_UP,15.042929966666666,RANKED_SETUP,,,,,,,,BANKING
2026-09-08,GMMPFAUDLR,LONG,2026-09-08 09:47:06.217775,2026-09-08 10:17:23.000000,1290.64,1292.75,113,238.4299999999887,BUYING_DRIED_UP,30.27970375,RANKED_SETUP,,,,,,STRONG,,CAPITAL GOODS
2026-09-08,BEML,LONG,2026-09-08 10:00:01.483154,2026-09-08 14:25:28.000000,2177.39,2110.1,66,-4441.139999999998,TRAILING_STOP,265.4419474333333,RANKED_SETUP,,,,,,,,CAPITAL GOODS
2026-09-08,TEGA,LONG,2026-09-08 10:10:43.565713,2026-09-08 11:00:27.000000,1669.63,1669.07,93,-52.08000000001607,BUYING_DRIED_UP,49.72390478333333,RANKED_SETUP,,,,,,STRONG,,CAPITAL GOODS
2026-09-08,MIDHANI,LONG,2026-09-08 10:35:00.952820,2026-09-08 10:59:23.000000,451.98,462.72,311,3340.140000000003,BUYING_DRIED_UP,24.367453,RANKED_SETUP,,,,,,STRONG,,METALS & MINING
2026-09-08,NESCO,LONG,2026-09-08 10:59:23.967109,2026-09-08 12:16:49.000000,1128.0,1125.84,134,-289.44000000001097,BUYING_DRIED_UP,77.41721485,RANKED_SETUP,,,,,,,,REAL ESTATE
2026-09-08,PPLPHARMA,LONG,2026-09-08 11:00:28.024342,2026-09-08 11:32:19.000000,229.23,229.27,667,26.68000000001365,BUYING_DRIED_UP,31.8495943,RANKED_SETUP,,,,,,MIXED,,PHARMACEUTICALS
2026-09-08,ONESOURCE,LONG,2026-09-08 11:18:50.388235,2026-09-08 13:01:22.000000,1634.82,1584.11,83,-4208.930000000003,TRAILING_STOP,102.52686274999999,RANKED_SETUP,,,,,,STRONG,,PHARMACEUTICALS
2026-09-08,JUBLPHARMA,LONG,2026-09-08 11:32:15.909068,2026-09-08 15:19:05.000000,1012.36,996.05,161,-2625.9100000000094,MANUAL_EXIT,226.8181822,RANKED_SETUP,,,,,,MIXED,,PHARMACEUTICALS
2026-09-08,ASIANENE,LONG,2026-09-08 11:48:03.153048,2026-09-08 13:57:22.000000,561.53,542.28,222,-4273.5,TRAILING_STOP,129.31411586666667,RANKED_SETUP,,,,,,STRONG,NEWS,OIL & GAS
2026-09-08,CYIENTDLM,LONG,2026-09-08 12:16:50.187847,2026-09-08 13:33:33.000000,914.06,933.53,83,1616.0100000000023,BUYING_DRIED_UP,76.71353588333334,RANKED_SETUP,,,,,,WEAK,,CAPITAL GOODS
2026-09-08,GENESYS,LONG,2026-09-08 12:39:58.160191,2026-09-08 15:19:10.000000,286.12,287.61,361,537.8900000000033,MANUAL_EXIT,159.19733015,RANKED_SETUP,,,,,,,,INFORMATION TECHNOLOGY
2026-09-08,SFL,LONG,2026-09-08 13:01:23.157637,2026-09-08 13:12:09.000000,702.9,681.11,205,-4466.9499999999925,TRAILING_STOP,10.764039383333333,RANKED_SETUP,,,,,,GOOD,,CONSUMER DURABLES
2026-09-08,VENUSPIPES,LONG,2026-09-08 13:14:02.326077,2026-09-08 13:29:03.000000,1935.97,1944.23,64,528.6399999999994,BUYING_DRIED_UP,15.011232049999998,RANKED_SETUP,,,,,,GOOD,,METALS & MINING
2026-09-08,ANTELOPUS,LONG,2026-09-08 13:30:31.849699,2026-09-08 13:52:32.000000,1040.0,1078.99,75,2924.250000000001,BUYING_DRIED_UP,22.002505016666664,RANKED_SETUP,,,,,,,,OIL & GAS
2026-09-08,MVELECTRO,LONG,2026-09-08 13:37:26.265074,2026-09-08 14:43:10.000000,864.02,865.96,90,174.6000000000049,BUYING_DRIED_UP,65.72891543333334,RANKED_SETUP,,,,,,,,CAPITAL GOODS
2026-09-08,DEEPINDS,LONG,2026-09-08 13:52:39.051155,2026-09-08 15:19:13.000000,814.41,816.44,164,332.92000000001417,MANUAL_EXIT,86.56581408333334,RANKED_SETUP,,,,,,STRONG,,OIL & GAS
